mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.004945802688598633,0.001383822292287261,0.0016118526458740235,0.00023962543214344062,2,1,"{'classifier__max_depth': 2, 'classifier__min_samples_leaf': 1}",0.9473684210526315,0.9464285714285714,0.9217391304347826,0.9107142857142857,0.9454545454545454,0.9343409908169633,0.01520764754569698,23
0.006052207946777344,0.0034755325187063686,0.0023202896118164062,0.0011901136848108701,2,3,"{'classifier__max_depth': 2, 'classifier__min_samples_leaf': 3}",0.9473684210526315,0.9464285714285714,0.9217391304347826,0.9107142857142857,0.9454545454545454,0.9343409908169633,0.01520764754569698,23
0.005566120147705078,0.0013188502423850906,0.0031171321868896486,0.0023816715640289482,2,5,"{'classifier__max_depth': 2, 'classifier__min_samples_leaf': 5}",0.9473684210526315,0.9464285714285714,0.9137931034482759,0.9107142857142857,0.9454545454545454,0.932751785419662,0.01677583762809444,25
0.005797147750854492,0.0013810314152292386,0.0025894641876220703,0.000989880715163562,2,10,"{'classifier__max_depth': 2, 'classifier__min_samples_leaf': 10}",0.9285714285714286,0.9464285714285714,0.9137931034482759,0.9107142857142857,0.9444444444444444,0.9287903667214013,0.014885341506487963,26
0.005387067794799805,0.00215588163655954,0.0018514156341552734,0.0009482257719985722,3,1,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1}",0.9473684210526315,0.9380530973451328,0.9230769230769231,0.9256198347107438,0.9739130434782609,0.9416062639327384,0.01837638617300709,15
0.00629720687866211,0.002314382936912255,0.0016706466674804687,0.000502511879434026,3,3,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 3}",0.9380530973451328,0.954954954954955,0.9230769230769231,0.9256198347107438,0.9734513274336283,0.9430312275042766,0.018940276661661325,14
0.004768753051757812,0.0017132746592686183,0.001276254653930664,7.19779332977251e-05,3,5,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 5}",0.9473684210526315,0.954954954954955,0.9230769230769231,0.9256198347107438,0.9734513274336283,0.9448942922457763,0.018816720314341607,13
0.004519939422607422,0.0005114505878901237,0.001328420639038086,9.006208098381954e-05,3,10,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 10}",0.9285714285714286,0.9464285714285714,0.9137931034482759,0.9107142857142857,0.972972972972973,0.9344960724271069,0.023031040430886347,17
0.005215644836425781,0.0009484194222363747,0.001275014877319336,4.331177818395725e-05,4,1,"{'classifier__max_depth': 4, 'classifier__min_samples_leaf': 1}",0.9473684210526315,0.954954954954955,0.9310344827586207,0.9491525423728814,0.9743589743589743,0.9513738750996126,0.013970023499616428,1
0.005202722549438476,0.0009715626125441527,0.0018416404724121093,0.0010735579871932347,4,3,"{'classifier__max_depth': 4, 'classifier__min_samples_leaf': 3}",0.9380530973451328,0.954954954954955,0.9401709401709402,0.9298245614035088,0.9739130434782609,0.9473833194705594,0.015546944167661787,11
0.005541515350341797,0.0014075119955367504,0.002412700653076172,0.0011008151923889223,4,5,"{'classifier__max_depth': 4, 'classifier__min_samples_leaf': 5}",0.9473684210526315,0.954954954954955,0.9482758620689655,0.9166666666666666,0.9739130434782609,0.9482357896442959,0.01844902168991917,10
0.0039615631103515625,0.0005001379222708075,0.0019794464111328124,0.0007673520187734392,4,10,"{'classifier__max_depth': 4, 'classifier__min_samples_leaf': 10}",0.9285714285714286,0.9464285714285714,0.9137931034482759,0.9107142857142857,0.972972972972973,0.9344960724271069,0.023031040430886347,17
0.006722784042358399,0.0025525686316648687,0.0018727779388427734,0.0005599564550539892,5,1,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1}",0.9565217391304348,0.9557522123893806,0.9230769230769231,0.9298245614035088,0.9655172413793104,0.9461385354759114,0.016575594474374088,12
